step,epoch,param,layer,grad_norm
31,0,fc1.bias,fc1,0.04351057484745979
31,0,fc1.weight,fc1,0.394057035446167
32,0,fc2.bias,fc2,0.04640272632241249
32,0,fc2.weight,fc2,0.6475704312324524
32,0,fc1.bias,fc1,0.03584669902920723
32,0,fc1.weight,fc1,0.42310595512390137
33,0,fc2.bias,fc2,0.03320033848285675
33,0,fc2.weight,fc2,0.4796700179576874
33,0,fc1.bias,fc1,0.029316768050193787
33,0,fc1.weight,fc1,0.3420082926750183
34,0,fc2.bias,fc2,0.053063683211803436
34,0,fc2.weight,fc2,0.5754255056381226
34,0,fc1.bias,fc1,0.03682820498943329
34,0,fc1.weight,fc1,0.37644004821777344
35,0,fc2.bias,fc2,0.06175476312637329
35,0,fc2.weight,fc2,0.6749526858329773
35,0,fc1.bias,fc1,0.04335878789424896
35,0,fc1.weight,fc1,0.40415188670158386
36,0,fc2.bias,fc2,0.07237451523542404
36,0,fc2.weight,fc2,0.8131659030914307
36,0,fc1.bias,fc1,0.04921169951558113
36,0,fc1.weight,fc1,0.4460185766220093
37,0,fc2.bias,fc2,0.03952259197831154
37,0,fc2.weight,fc2,0.5642145276069641
37,0,fc1.bias,fc1,0.030469752848148346
37,0,fc1.weight,fc1,0.33745095133781433
38,0,fc2.bias,fc2,0.06286939978599548
38,0,fc2.weight,fc2,0.7330559492111206
38,0,fc1.bias,fc1,0.04725949838757515
38,0,fc1.weight,fc1,0.4383701980113983
39,0,fc2.bias,fc2,0.05347196385264397
39,0,fc2.weight,fc2,0.5028926730155945
39,0,fc1.bias,fc1,0.03220348432660103
39,0,fc1.weight,fc1,0.3078311085700989
40,0,fc2.bias,fc2,0.04872889071702957
40,0,fc2.weight,fc2,0.5589559674263
40,0,fc1.bias,fc1,0.03942698612809181
40,0,fc1.weight,fc1,0.33736488223075867
41,0,fc2.bias,fc2,0.06749594956636429
41,0,fc2.weight,fc2,0.6919039487838745
41,0,fc1.bias,fc1,0.04552694410085678
41,0,fc1.weight,fc1,0.37175872921943665
42,0,fc2.bias,fc2,0.06532569229602814
42,0,fc2.weight,fc2,0.7632885575294495
42,0,fc1.bias,fc1,0.042443107813596725
42,0,fc1.weight,fc1,0.37885576486587524
43,0,fc2.bias,fc2,0.046818725764751434
43,0,fc2.weight,fc2,0.5028120875358582
43,0,fc1.bias,fc1,0.03760724887251854
43,0,fc1.weight,fc1,0.3280642628669739
44,0,fc2.bias,fc2,0.04325719177722931
44,0,fc2.weight,fc2,0.49756503105163574
44,0,fc1.bias,fc1,0.03627078980207443
44,0,fc1.weight,fc1,0.32554948329925537
45,0,fc2.bias,fc2,0.03269021585583687
45,0,fc2.weight,fc2,0.5148820281028748
45,0,fc1.bias,fc1,0.028892314061522484
45,0,fc1.weight,fc1,0.3551478683948517
46,0,fc2.bias,fc2,0.0687999576330185
46,0,fc2.weight,fc2,0.7773964405059814
46,0,fc1.bias,fc1,0.049847718328237534
46,0,fc1.weight,fc1,0.3826902508735657
47,0,fc2.bias,fc2,0.04799819737672806
47,0,fc2.weight,fc2,0.5403019785881042
47,0,fc1.bias,fc1,0.036801084876060486
47,0,fc1.weight,fc1,0.34824714064598083
48,0,fc2.bias,fc2,0.06463771313428879
48,0,fc2.weight,fc2,0.6432622075080872
